Station_ID,Station_Name,Operator,State,City,Address,Latitude,Longitude,Charger_Type,Power_kW,Available_Chargers,Charging_Cost_per_Unit,Estimated_Waiting_Time_Min,Status,Route_Name,Route_Order,Has_Food_Court,Has_Cafe,Has_Washroom,Review_Rating,Review_Count,Division,Data_Source
EV035,Chhatrapati Sambhajinagar EV Charging Station 35,Tata Power,Maharashtra,Chhatrapati Sambhajinagar,"Sector 16, Chhatrapati Sambhajinagar",19.812158,75.303242,DC Fast,120,8,17.98,14.0,Maintenance,Pune-Nagpur,2,True,False,False,3.4,239,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV036,Mumbai EV Charging Station 36,Ather Grid,Maharashtra,Mumbai,"Sector 35, Mumbai",19.017736,72.857392,DC Fast,60,2,17.57,29.0,Available,,,True,True,True,3.3,140,Other,ORIGINAL_UPLOAD
EV037,Mumbai EV Charging Station 37,Statiq,Maharashtra,Mumbai,"Sector 45, Mumbai",19.022222,72.86884,Type 2,120,7,15.92,22.0,Maintenance,,,True,False,False,3.8,96,Other,ORIGINAL_UPLOAD
EV038,Akola EV Charging Station 38,Statiq,Maharashtra,Akola,"Sector 25, Akola",20.657335,76.964689,DC Fast,7,1,10.71,45.0,Maintenance,Pune-Nagpur,3,False,False,False,4.9,131,Other,ORIGINAL_UPLOAD
EV039,Nagpur EV Charging Station 39,Jio-bp,Maharashtra,Nagpur,"Sector 30, Nagpur",21.206933,79.166348,CCS2,120,3,15.95,40.0,Available,Pune-Nagpur,5,False,True,False,3.8,127,Other,ORIGINAL_UPLOAD
EV040,Amravati EV Charging Station 40,Statiq,Maharashtra,Amravati,"Sector 16, Amravati",20.905581,77.750586,DC Fast,7,2,17.88,27.0,Available,Pune-Nagpur,4,False,False,False,3.8,9,Other,ORIGINAL_UPLOAD
EV041,Pune EV Charging Station 41,Ather Grid,Maharashtra,Pune,"Sector 32, Pune",18.583766,73.777135,Type 2,60,4,9.05,32.0,Maintenance,Pune-Nagpur,1,True,False,True,4.7,43,Pune,ORIGINAL_UPLOAD
EV042,Chandrapur EV Charging Station 42,Ather Grid,Maharashtra,Chandrapur,"Sector 7, Chandrapur",19.997633,79.323952,Type 2,60,8,16.13,36.0,Busy,,,False,True,True,4.4,129,Other,ORIGINAL_UPLOAD
EV043,Chhatrapati Sambhajinagar EV Charging Station 43,Jio-bp,Maharashtra,Chhatrapati Sambhajinagar,"Sector 49, Chhatrapati Sambhajinagar",19.859251,75.345026,Type 2,60,2,10.68,25.0,Available,Pune-Nagpur,2,True,True,True,3.0,20,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV044,Pune EV Charging Station 44,ChargeZone,Maharashtra,Pune,"Sector 32, Pune",18.517914,73.784932,DC Fast,7,2,8.1,44.0,Available,Pune-Nagpur,1,True,True,True,4.1,194,Pune,ORIGINAL_UPLOAD
EV045,Nagpur EV Charging Station 45,Tata Power,Maharashtra,Nagpur,"Sector 9, Nagpur",21.153521,79.132332,AC,22,1,17.65,37.0,Maintenance,Pune-Nagpur,5,True,False,True,4.0,149,Other,ORIGINAL_UPLOAD
EV046,Mumbai EV Charging Station 46,Jio-bp,Maharashtra,Mumbai,"Sector 40, Mumbai",19.108392,72.918478,AC,60,7,14.69,10.0,Busy,,,False,False,True,4.2,145,Other,ORIGINAL_UPLOAD
EV047,Chandrapur EV Charging Station 47,Ather Grid,Maharashtra,Chandrapur,"Sector 12, Chandrapur",19.943654,79.314582,CCS2,30,3,13.96,13.0,Maintenance,,,True,False,True,5.0,31,Other,ORIGINAL_UPLOAD
EV048,Mumbai EV Charging Station 48,Tata Power,Maharashtra,Mumbai,"Sector 23, Mumbai",19.081402,72.871513,DC Fast,60,8,14.15,37.0,Available,,,True,False,False,3.4,46,Other,ORIGINAL_UPLOAD
EV049,Nashik EV Charging Station 49,Statiq,Maharashtra,Nashik,"Sector 12, Nashik",20.006236,73.86532,DC Fast,60,5,9.8,25.0,Available,,,False,False,True,4.3,216,Nashik,ORIGINAL_UPLOAD
EV050,Solapur EV Charging Station 50,Tata Power,Maharashtra,Solapur,"Sector 30, Solapur",17.722703,75.83907,Type 2,60,2,12.74,44.0,Busy,,,True,False,True,4.9,91,Pune,ORIGINAL_UPLOAD
EV051,Kolhapur EV Charging Station 51,ChargeZone,Maharashtra,Kolhapur,"Sector 20, Kolhapur",16.752343,74.184711,AC,22,5,12.25,41.0,Busy,,,False,True,True,4.5,241,Pune,ORIGINAL_UPLOAD
EV052,Nashik EV Charging Station 52,ChargeZone,Maharashtra,Nashik,"Sector 40, Nashik",19.984093,73.776525,Type 2,60,4,13.78,23.0,Available,,,False,False,True,3.6,29,Nashik,ORIGINAL_UPLOAD
EV053,Solapur EV Charging Station 53,Tata Power,Maharashtra,Solapur,"Sector 10, Solapur",17.608072,75.930831,AC,60,8,9.43,13.0,Available,,,False,True,True,3.3,239,Pune,ORIGINAL_UPLOAD
EV054,Nashik EV Charging Station 54,Statiq,Maharashtra,Nashik,"Sector 43, Nashik",19.974155,73.757732,CCS2,30,7,14.64,3.0,Available,,,False,False,False,4.6,201,Nashik,ORIGINAL_UPLOAD
EV055,Chhatrapati Sambhajinagar EV Charging Station 55,Ather Grid,Maharashtra,Chhatrapati Sambhajinagar,"Sector 4, Chhatrapati Sambhajinagar",19.850488,75.355343,CCS2,7,3,9.4,43.0,Busy,Pune-Nagpur,2,True,False,True,3.9,43,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV056,Solapur EV Charging Station 56,Tata Power,Maharashtra,Solapur,"Sector 17, Solapur",17.65502,75.871034,CCS2,60,3,9.06,0.0,Maintenance,,,False,False,False,4.4,176,Pune,ORIGINAL_UPLOAD
EV057,Nagpur EV Charging Station 57,Ather Grid,Maharashtra,Nagpur,"Sector 1, Nagpur",21.138051,79.055188,AC,60,6,12.25,7.0,Busy,Pune-Nagpur,5,True,True,False,4.0,171,Other,ORIGINAL_UPLOAD
EV058,Solapur EV Charging Station 58,Jio-bp,Maharashtra,Solapur,"Sector 10, Solapur",17.657865,75.906782,Type 2,7,3,12.57,32.0,Available,,,False,False,False,4.9,107,Pune,ORIGINAL_UPLOAD
EV059,Solapur EV Charging Station 59,Tata Power,Maharashtra,Solapur,"Sector 33, Solapur",17.717544,75.970466,CCS2,120,5,15.0,13.0,Available,,,False,False,True,4.8,44,Pune,ORIGINAL_UPLOAD
EV060,Akola EV Charging Station 60,Jio-bp,Maharashtra,Akola,"Sector 32, Akola",20.658971,77.036637,CCS2,30,3,15.75,0.0,Available,Pune-Nagpur,3,False,False,True,4.9,154,Other,ORIGINAL_UPLOAD
EV061,Akola EV Charging Station 61,Jio-bp,Maharashtra,Akola,"Sector 14, Akola",20.779132,76.931413,Type 2,7,2,14.97,10.0,Maintenance,Pune-Nagpur,3,True,True,True,3.0,91,Other,ORIGINAL_UPLOAD
EV062,Chandrapur EV Charging Station 62,Statiq,Maharashtra,Chandrapur,"Sector 17, Chandrapur",19.961767,79.238825,CCS2,7,2,11.78,42.0,Busy,,,False,False,True,4.0,99,Other,ORIGINAL_UPLOAD
EV063,Nashik EV Charging Station 63,Ather Grid,Maharashtra,Nashik,"Sector 3, Nashik",20.006238,73.730196,CCS2,22,5,13.47,43.0,Busy,,,False,False,False,4.3,242,Nashik,ORIGINAL_UPLOAD
EV064,Akola EV Charging Station 64,Tata Power,Maharashtra,Akola,"Sector 30, Akola",20.729312,76.954307,CCS2,30,2,8.61,19.0,Available,Pune-Nagpur,3,True,True,True,4.8,44,Other,ORIGINAL_UPLOAD
EV065,Akola EV Charging Station 65,Ather Grid,Maharashtra,Akola,"Sector 33, Akola",20.690979,77.07841,DC Fast,120,3,15.85,42.0,Maintenance,Pune-Nagpur,3,True,True,False,4.1,115,Other,ORIGINAL_UPLOAD
EV066,Pune EV Charging Station 66,Tata Power,Maharashtra,Pune,"Sector 31, Pune",18.561338,73.846336,Type 2,60,6,13.13,16.0,Available,Pune-Nagpur,1,False,False,True,4.6,201,Pune,ORIGINAL_UPLOAD
EV067,Amravati EV Charging Station 67,Statiq,Maharashtra,Amravati,"Sector 48, Amravati",21.003506,77.716973,DC Fast,30,6,17.54,16.0,Available,Pune-Nagpur,4,False,False,True,4.5,17,Other,ORIGINAL_UPLOAD
EV068,Solapur EV Charging Station 68,Tata Power,Maharashtra,Solapur,"Sector 28, Solapur",17.650134,75.888312,Type 2,7,8,9.57,8.0,Busy,,,False,False,False,4.7,16,Pune,ORIGINAL_UPLOAD
EV069,Solapur EV Charging Station 69,Ather Grid,Maharashtra,Solapur,"Sector 13, Solapur",17.629628,75.878293,CCS2,120,7,10.1,29.0,Busy,,,False,False,True,4.7,171,Pune,ORIGINAL_UPLOAD
EV070,Kolhapur EV Charging Station 70,ChargeZone,Maharashtra,Kolhapur,"Sector 42, Kolhapur",16.740061,74.259534,Type 2,22,5,11.31,36.0,Busy,,,False,False,False,3.6,110,Pune,ORIGINAL_UPLOAD
EV071,Pune EV Charging Station 71,Tata Power,Maharashtra,Pune,"Sector 5, Pune",18.538569,73.882923,Type 2,60,7,17.83,1.0,Maintenance,Pune-Nagpur,1,False,False,True,3.5,103,Pune,ORIGINAL_UPLOAD
EV072,Akola EV Charging Station 72,Statiq,Maharashtra,Akola,"Sector 3, Akola",20.683464,76.963391,CCS2,22,2,17.76,36.0,Available,Pune-Nagpur,3,False,False,True,3.1,89,Other,ORIGINAL_UPLOAD
EV073,Chhatrapati Sambhajinagar EV Charging Station 73,Statiq,Maharashtra,Chhatrapati Sambhajinagar,"Sector 19, Chhatrapati Sambhajinagar",19.943112,75.298133,DC Fast,120,4,12.48,10.0,Available,Pune-Nagpur,2,True,True,False,4.3,40,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV074,Nashik EV Charging Station 74,Tata Power,Maharashtra,Nashik,"Sector 17, Nashik",20.076055,73.837687,DC Fast,30,6,13.09,28.0,Available,,,False,True,False,5.0,193,Nashik,ORIGINAL_UPLOAD
EV075,Pune EV Charging Station 75,Tata Power,Maharashtra,Pune,"Sector 8, Pune",18.575904,73.789257,Type 2,22,5,15.61,32.0,Maintenance,Pune-Nagpur,1,False,False,True,4.5,15,Pune,ORIGINAL_UPLOAD
EV076,Amravati EV Charging Station 76,Tata Power,Maharashtra,Amravati,"Sector 23, Amravati",20.889429,77.796569,CCS2,120,1,15.83,6.0,Busy,Pune-Nagpur,4,False,True,True,3.5,248,Other,ORIGINAL_UPLOAD
EV077,Kolhapur EV Charging Station 77,ChargeZone,Maharashtra,Kolhapur,"Sector 10, Kolhapur",16.666399,74.177173,CCS2,7,3,17.79,22.0,Busy,,,False,False,True,4.3,236,Pune,ORIGINAL_UPLOAD
EV078,Mumbai EV Charging Station 78,Tata Power,Maharashtra,Mumbai,"Sector 15, Mumbai",19.022109,72.955014,DC Fast,120,6,9.84,31.0,Maintenance,,,False,False,False,4.5,10,Other,ORIGINAL_UPLOAD
EV079,Kolhapur EV Charging Station 79,ChargeZone,Maharashtra,Kolhapur,"Sector 40, Kolhapur",16.728387,74.28009,DC Fast,60,7,11.92,44.0,Maintenance,,,False,True,True,4.9,233,Pune,ORIGINAL_UPLOAD
EV080,Nashik EV Charging Station 80,Ather Grid,Maharashtra,Nashik,"Sector 2, Nashik",19.954169,73.842251,Type 2,30,1,14.62,8.0,Busy,,,True,True,False,4.7,206,Nashik,ORIGINAL_UPLOAD
EV081,Akola EV Charging Station 81,Jio-bp,Maharashtra,Akola,"Sector 40, Akola",20.773312,77.029605,CCS2,120,8,13.63,32.0,Maintenance,Pune-Nagpur,3,True,False,True,3.3,97,Other,ORIGINAL_UPLOAD
EV082,Nagpur EV Charging Station 82,Statiq,Maharashtra,Nagpur,"Sector 30, Nagpur",21.140444,79.134486,CCS2,30,1,13.64,28.0,Busy,Pune-Nagpur,5,False,False,True,4.2,112,Other,ORIGINAL_UPLOAD
EV083,Chandrapur EV Charging Station 83,Ather Grid,Maharashtra,Chandrapur,"Sector 25, Chandrapur",19.941301,79.263563,CCS2,7,4,15.92,14.0,Available,,,False,False,True,4.0,234,Other,ORIGINAL_UPLOAD
EV084,Chhatrapati Sambhajinagar EV Charging Station 84,ChargeZone,Maharashtra,Chhatrapati Sambhajinagar,"Sector 43, Chhatrapati Sambhajinagar",19.908823,75.407847,AC,7,5,16.16,40.0,Available,Pune-Nagpur,2,False,False,True,4.7,81,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV085,Amravati EV Charging Station 85,Ather Grid,Maharashtra,Amravati,"Sector 16, Amravati",20.965887,77.723484,Type 2,60,4,17.86,32.0,Busy,Pune-Nagpur,4,False,True,True,3.3,153,Other,ORIGINAL_UPLOAD
EV086,Solapur EV Charging Station 86,Jio-bp,Maharashtra,Solapur,"Sector 42, Solapur",17.63004,75.929368,DC Fast,22,2,8.68,7.0,Maintenance,,,True,True,False,3.6,199,Pune,ORIGINAL_UPLOAD
EV087,Mumbai EV Charging Station 87,Jio-bp,Maharashtra,Mumbai,"Sector 20, Mumbai",19.141584,72.947846,Type 2,120,2,12.79,5.0,Available,,,True,False,False,4.4,100,Other,ORIGINAL_UPLOAD
EV088,Akola EV Charging Station 88,Jio-bp,Maharashtra,Akola,"Sector 45, Akola",20.638231,77.027969,AC,7,3,14.69,27.0,Maintenance,Pune-Nagpur,3,False,False,True,4.4,247,Other,ORIGINAL_UPLOAD
EV089,Nashik EV Charging Station 89,Jio-bp,Maharashtra,Nashik,"Sector 36, Nashik",20.019071,73.758283,Type 2,60,8,13.67,1.0,Busy,,,False,False,True,4.4,70,Nashik,ORIGINAL_UPLOAD
EV090,Amravati EV Charging Station 90,ChargeZone,Maharashtra,Amravati,"Sector 36, Amravati",20.96646,77.727033,AC,22,8,9.84,40.0,Available,Pune-Nagpur,4,False,True,True,4.2,167,Other,ORIGINAL_UPLOAD
EV091,Mumbai EV Charging Station 91,ChargeZone,Maharashtra,Mumbai,"Sector 36, Mumbai",19.048607,72.858465,CCS2,22,3,8.5,21.0,Busy,,,False,False,False,3.5,247,Other,ORIGINAL_UPLOAD
EV092,Kolhapur EV Charging Station 92,Tata Power,Maharashtra,Kolhapur,"Sector 19, Kolhapur",16.664958,74.195932,DC Fast,120,7,11.79,4.0,Busy,,,False,False,True,4.2,68,Pune,ORIGINAL_UPLOAD
EV093,Mumbai EV Charging Station 93,ChargeZone,Maharashtra,Mumbai,"Sector 13, Mumbai",19.050313,72.95069,CCS2,7,2,9.55,12.0,Available,,,False,False,True,4.4,195,Other,ORIGINAL_UPLOAD
EV094,Mumbai EV Charging Station 94,Ather Grid,Maharashtra,Mumbai,"Sector 34, Mumbai",19.000564,72.926547,DC Fast,7,7,8.7,11.0,Busy,,,False,False,True,4.9,234,Other,ORIGINAL_UPLOAD
EV095,Nashik EV Charging Station 95,Statiq,Maharashtra,Nashik,"Sector 28, Nashik",19.968185,73.830945,AC,22,8,11.18,19.0,Available,,,False,False,False,3.3,39,Nashik,ORIGINAL_UPLOAD
EV096,Mumbai EV Charging Station 96,Tata Power,Maharashtra,Mumbai,"Sector 39, Mumbai",19.059335,72.905197,DC Fast,60,2,15.05,42.0,Maintenance,,,False,False,True,3.2,27,Other,ORIGINAL_UPLOAD
EV097,Solapur EV Charging Station 97,Tata Power,Maharashtra,Solapur,"Sector 38, Solapur",17.721243,75.904351,Type 2,120,2,16.36,5.0,Maintenance,,,False,False,False,3.4,167,Pune,ORIGINAL_UPLOAD
EV098,Chhatrapati Sambhajinagar EV Charging Station 98,Tata Power,Maharashtra,Chhatrapati Sambhajinagar,"Sector 15, Chhatrapati Sambhajinagar",19.82698,75.393993,AC,30,6,13.62,11.0,Maintenance,Pune-Nagpur,2,True,True,True,3.9,39,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV099,Pune EV Charging Station 99,Ather Grid,Maharashtra,Pune,"Sector 29, Pune",18.495616,73.840801,AC,7,2,12.15,43.0,Busy,Pune-Nagpur,1,True,True,True,3.1,33,Pune,ORIGINAL_UPLOAD
EV100,Chhatrapati Sambhajinagar EV Charging Station 100,Statiq,Maharashtra,Chhatrapati Sambhajinagar,"Sector 39, Chhatrapati Sambhajinagar",19.892653,75.402485,AC,60,1,11.56,38.0,Available,Pune-Nagpur,2,False,False,False,4.3,35,Chhatrapati Sambhajinagar,ORIGINAL_UPLOAD
EV101,Mumbai EV Charging Station 101,Jio-bp,Maharashtra,Mumbai,"Sector 4, Mumbai",19.117827,72.899213,DC Fast,60,6,8.38,21.0,Maintenance,,,True,False,False,3.6,244,Other,ORIGINAL_UPLOAD
EV102,Nashik EV Charging Station 102,Jio-bp,Maharashtra,Nashik,"Sector 17, Nashik",20.065852,73.750554,AC,60,6,12.29,25.0,Busy,,,True,False,False,3.6,129,Nashik,ORIGINAL_UPLOAD
EV103,Nagpur EV Charging Station 103,ChargeZone,Maharashtra,Nagpur,"Sector 23, Nagpur",21.190415,79.038271,Type 2,30,5,13.45,19.0,Maintenance,Pune-Nagpur,5,True,False,True,4.8,162,Other,ORIGINAL_UPLOAD
EV104,Solapur EV Charging Station 104,Tata Power,Maharashtra,Solapur,"Sector 39, Solapur",17.73708,75.963443,CCS2,7,5,12.4,18.0,Maintenance,,,False,False,False,3.3,50,Pune,ORIGINAL_UPLOAD
EV105,Chandrapur EV Charging Station 105,Jio-bp,Maharashtra,Chandrapur,"Sector 8, Chandrapur",19.923027,79.301936,Type 2,22,6,17.06,6.0,Available,,,True,False,True,4.7,54,Other,ORIGINAL_UPLOAD
EV106,Nagpur EV Charging Station 106,ChargeZone,Maharashtra,Nagpur,"Sector 31, Nagpur",21.095144,79.050834,CCS2,7,5,9.13,24.0,Busy,Pune-Nagpur,5,True,True,True,4.4,143,Other,ORIGINAL_UPLOAD
EV107,Akola EV Charging Station 107,Ather Grid,Maharashtra,Akola,"Sector 25, Akola",20.725475,77.038428,Type 2,60,1,17.33,27.0,Busy,Pune-Nagpur,3,False,True,False,4.5,157,Other,ORIGINAL_UPLOAD
EV108,Mumbai EV Charging Station 108,Jio-bp,Maharashtra,Mumbai,"Sector 17, Mumbai",19.027224,72.872092,DC Fast,7,4,8.04,32.0,Busy,,,False,True,True,4.4,226,Other,ORIGINAL_UPLOAD
EV109,Akola EV Charging Station 109,Ather Grid,Maharashtra,Akola,"Sector 29, Akola",20.628961,76.945397,AC,22,6,11.93,20.0,Available,Pune-Nagpur,3,False,False,True,4.5,17,Other,ORIGINAL_UPLOAD
EV110,Pune EV Charging Station 110,ChargeZone,Maharashtra,Pune,"Sector 11, Pune",18.468638,73.801156,AC,7,1,8.62,8.0,Available,Pune-Nagpur,1,False,False,False,4.6,5,Pune,ORIGINAL_UPLOAD
EV111,Solapur EV Charging Station 111,Jio-bp,Maharashtra,Solapur,"Sector 2, Solapur",17.663239,75.880882,CCS2,7,4,12.36,40.0,Maintenance,,,True,True,True,3.8,224,Pune,ORIGINAL_UPLOAD
